musica,letras
The Prisoner,"We want information, information, information Who are you? The new number two. Who´s number one? You are number six.I´m not a number ya.I´m a free man! Hahahahaha! I'm on the run, I'll kill to eat, Starving now, feeling dead on my feet. Going all the way, I'm nature's beast. Do what i want, I do as i please. Run, you've gotta fight, to breathe, it's tough. Now you see me, now you don't. Break the walls, I'm coming out. I'm not a prisoner, I'm a free man, And my blood is my own now. Don't care where the past was,I know where I'm going...out. If you kill me, it's self defence. If I kill you, then I call it vengeance. Spit in your eye, I will defy. You'll be afraid when I call out your name. Run, you've gotta fight, to breathe, it's tough. Now you see me, now you don't. Break the walls, I'm coming out. I'm not a prisoner, I'm a free man, And my blood is my own now. Don't care where the past was,I know where I'm going. I'm not a number, I'm a free man,I'll live my life how i want to. You'd better scratch mefrom your black book,' Cause I'll run rings around you."
22 Acacia Avenue,"If you're feeling down depressed and lonelyI know a place where we can go22 acacia avenue meet a lady that I know So if you're looking for a good time And you're prepared to pay the price Fifteen quid is all she asks for Everybody's got their vice If you're waiting for a long time for the rest to do their piece You can tell her that you know me and you might even get it free So any time you're down the east end don't you hesitate to go You can take my honest word for it she'll teach you more than you can know Charlotte can't you get out from all this madness Can't you see it only brings you sadness When you entertain your men don't know the risk of getting disease Some day when you're reaching the age of fortyI bet you'll regret the days when you were laying Nobody then will want to know You won't have any beautiful wares to show any more 22, the avenue that's the place where we all go You will find it's warm inside the red lights burning bright tonight Charlotte isn't it time you stopped this mad life Don't you ever think about the bad times Why do you have to live this way Do you enjoy your lay or is it the pay Sometimes when your strolling down the avenue The way you walk it make men think of having you When you're walking down the street Everybody stops and turns to stare at you 22, the avenue that's the place where we all go You will find it's warm inside the red lights burning bright tonight Beat her mistreat her do anything that you please Bite her excite her make her get down on her knees Abuse her misuse her she can take all that you've got Caress her molest her she always does what you want You're running away don't you know what you're doing Can't you see it'll lead you to ruin Charlotte you've taken your life and you've thrown it away You believe that because what you're earning Your life's good don't you know that you're hurting All the people that love you don't cast them aside All the men that are constantly drooling It's no life for you stop all that screwing You're packing your bags and you're coming with me"
The Number Of The Beast,"Woe to you, oh, earth and sea For the devil sends the beast with wrath Because he knows the time is short Let him who hath understanding reckon The number of the beast for it is a human number Its number is six hundred and sixty six I left alone, my mind was blankI needed time to think to Get the memories from my mind What did I see, can I believe That what I saw that night was real And not just fantasy Just what I saw, in my old dreams Were they reflections of my warped mind Staring back at me ' Cause in my dreams, it's always there The evil face that twists my mind and brings Me to despair The night was black, was no use holding back' Cause I just had to see, was someone watching me In the mist, dark figures move and twist Was all this for real, or just some kind of hell666, the number of the beast Hell and fire was spawned to be released Torches blazed and sacred chants were praised As they start to cry Hands held to the sky In the night, the fires are burning bright The ritual has begun, satan's work is done666, the number of the beast Sacrifice is going on tonight This can't go on, I must inform the law Can this still be real or just some crazy dream But I feel drawn towards the chanting hordes They seem to mesmerize Can't avoid their eyes666, the number of the beast666, the one for you and me I'm coming back, I will return And I'll possess your body and I'll make you burnI have the fire, I have the forceI have the power to make my evil take it's course"
Run To The Hills,"White man came across the sea He brought us pain and misery He killed our tribes, he killed our creed He took our game for his own need We fought him hard, we fought him well Out on the plains, we gave him hell But many came, too much for  Cree Oh, will we ever be set free? Riding through dustclouds and barren wastes Galloping hard on the plains Chasing the redskins back to their holes Fighting them at their own game Murder for freedom, a stab in the back Women and children and cowards attack Run to the hills, run for your lives Run to the hills, run for your lives Soldier blue in the barren wastes Hunting and killing for game Raping the women and wasting the men The only good  Indians are tame Selling them whisky and taking their gold Enslaving the young and destroying the old Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives"
Hallowed Be Thy Name,"I'm waiting in my cold cell, when the bell begins to chime Reflecting on my past life and it doesn't have much time' Cause at 5 o'clock they take me to the gallows pole The sands of time for me are running low When the priest comes to read me the last ritesI take a look through the bars at the last sights Of a world that has gone very wrong for me Can it be that there's some sort of error Hard to stop the surmounting terror Is it really the end, not some crazy dream? Somebody please tell me that I'm dreaming It's not so easy to stop from screaming But words escape me when I try to speak Tears flow but why am I crying After all I'm not afraid of dying Don't I believe that there never is an end As the guards march me out to the courtyard Somebody cries from a cell:  God be with you If there's a god then why has he let me go? As I walk all my life drifts before me Though the end is near I'm still not sorry Catch my soul, it's willing to fly away Mark my words please believe my soul lives on Please don't worry now that I have goneI've gone beyond to see the truth When you know that your time is close at hand Maybe then you'll begin to understand Life down here is just a strange illusion Hallowed be thy name"
Where Eagles Dare,"It's snowing outside, the rumbling sound Of engines roar in the night The mission is near, the confident men Are waiting to drop from the sky The  Blizzard goes on, but still they must fly No one should go where eagles dare Bavarian  Alps that lay all around They seem to stare from below The enemy lines a long time passed Are lying deep in the snow Into the night they fall through the sky No one should fly where eagles dare Their closing in, the fortress is near It's standing high in the sky The cable car's the only way in It's really impossible to climb They make their way, but maybe too late They've got to try to save the day The panicking cries, the roaring of guns Are echoing all around the valley The mission complete, they make to escape Away from the  Eagles  Nest They dared to go where no one would try They chose to fly where eagles dare"
Revelations,"""O  God of  Earth and  Altar, Bow down and hear our cry, Our earthly rulers falter, Our people drift and die, The walls of gold entomb us, The swords of scorn divide, Take not thy thunder from us, But take away our pride."" Just a babe in a black abyss, No reason for a place like this. The walls are cold and souls cry out in pain. An easy way for the blind to go,A clever path for the fools who know. The  Secret of the  Hangman ­ the smile on his lips. The light of the  Blind ­ you'll see, The venom that tears my spine, The  Eyes of the  Nile are opening ­ you'll see. She came to me with a serpents kiss, As the  Eye of the  Sun rose on her lips. Moonlight catches silver tears I cry. So we lay in a black embrace, And the  Seed is sown in a holy place, And I watched and I waited for the  Dawn. The light of the  Blind ­ you'll see, The venom that tears my spine, The  Eyes of the  Nile are opening ­ you'll see. S O LO Bind us all together, Ablaze with  Hope and  Free. No storm or heavy weather, Will rock the boat you'll see. The time has come to close your eyes, And still the wind and rain. For the one who will be  King, Is the watcher in the  Ring. It is  You."
Flight Of Icarus,"As the sun breaks, above the ground An old man stands on the hill As the ground warms, to the first rays of lightA birdsong shatters the still His eyes are ablazed See the madman in his gaze Fly, on your way, like an eagle Fly as high as the sun On your way, like an eagle Fly touch the sun Now the crowd breaks and a young boy appears Looks the old man in the eye As he spreads his wings and shouts at the crowd In the name of  God my father I fly His eyes seem so glazed As he flies on the wings of a dream Now he knows his father betrayed Now his wings turn to ashes to ashes his grave Fly, on your way, like an eagle Fly as high as the sun On your way, like an eagle Fly touch the sun"
Die With Your Boots On,"Yeah!  Another prophet of disaster Who says the ship is lost Another prophet of disaster Leaving you to count the cost Taunting us with visions Afflicting us with fear Predicting war for millions In the hope that one appears No point asking when it is No point asking who's to go No point asking what's the game No point asking who's to blame'cos if you're gonna die, if you're gonna die'cos if you're gonna die, if you're gonna die If you're gonna die, die with your boots on If you're gonna try, just stick around Gonna cry, just move along If you're gonna die, you're gonna die In 13, the  Beast is rising The  Frenchman did surmise Through earthquakes and starvation The warlord will arise Terror,  Death,  Destruction Pour from the  Eastern  Sands But the truth of all predictions Is always in your hands No point asking when it is No point asking who's to go No point asking what's the game No point asking who's to blame'cos if you're gonna die, if you're gonna die'cos if you're gonna die, if you're gonna die If you're gonna die, die with your boots on If you're gonna try, just stick around Gonna cry, just move along If you're gonna die, you're gonna die They died with their boots on, yes, they diiieeeed... The day they die with their boots on, we dieeeeeeeeeee WE  D IE! WE  D IE! WE  D IE! WE  D IE! WE  D IE! No point asking when it is No point asking who's to go No point asking what's the game No point asking who's to blame'cos if you're gonna die, if you're gonna die'cos if you're gonna die, if you're gonna die If you're gonna die, die with your boots on If you're gonna try, just stick around Gonna cry, just move along If you're gonna die, you're gonna die"
The Trooper,"You'll take my life, but I'll take yours too You'll fire your musket, but I'll run you through So when you're waiting for the next attack You'd better stand, there's no turning back The bugle sounds and the charge begins But on this battlefield no one wins The smell of acrid smoke and horses breath As I plunge on into certain death Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh The horse he sweats, with fear, we break to run The mighty roar of the russian guns And as we race towards the human wall The screams of pain as my comrades fall We hurdle bodies that lay on the ground And the russians fire another round We get so near yet so far away We won't live to fight another day Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh We get so close, near enough to fight When a russian gets me in his sights He pulls the trigger, and I feel the blowA burst of rounds take my horse below And as I lay there gazing at the sky My body's numb and my throat is dry And as I lay forgotten and alone Without a tear I draw my parting groan Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh"
Still Life,Take a look in the pool and what do you see In the dark depths there faces beckoning me Can't you see them it's plain for all to see They were there oh I know you don't believe me. Oh...I've never felt so strange But...I'm not going insane. I've no doubt that you think I'm off my head You don't say but it's in your eyes instead Hours I spend out just gazing into that pool Something draws me there I don't know what to do. Oh...they drain my strength away Oh...they're asking me to stay. Nightmares...spirits calling me Nightmares...they won't leave me be. All my life's blood is slowly draining away And I feel that I'm weaker every day Somehow I know I haven't long to go Joining them at the bottom of the pool. Now...I feel they are so nearI...begin to see them clear Nightmares...coming all the time Nightmares... Will give me peace of mind. Now it's clear and I know what I have to doI must take you down there to look at them too Hand in hand then we'll jump right into the pool Can't you see not just me they want you too. Oh...we'll drown together It...will be forever. Nightmares...forever calling me Nightmares... Now we rest in peace.
Quest For Fire,In a time when dinosaurs walked the earth When the land was swamp and caves were home In an age when prize possession was fire To search for landscapes men would roam Then the tribes they came to steal their fire And the wolves they howled into the night As they fought a vicious angry battle To save the power of warmth and light Drawn by quest for fire They searched all through the land Drawn by quest for fire Discovery of man And they thought that when the embers died away That the flame of life had burnt and died Didn't know the sparks that made the fire Were made by rubbing stick and stone So they ploughed through the forest and swamps of danger And they fought the cannibal tribes and beasts In the search to find another fire To regain the power of light and heat Drawn by quest for fire They searched across the land Drawn by quest for fire Discovery of man Drawn by quest for fire They searched across the land Drawn by quest for fire Discovery of man Drawn by quest for fire They searched across the land Drawn by quest for fire Discovery of man
Sun And Steel,"You killed your first man at 13 Killer instinct,  Animal supreme By 16 you had learned to fight The way of the warrior, you took it as your right Sunlight, falling on your steel Death in life is your ideal Life is like a wheel Sunlight, falling on your steel Death in life is your ideal Life is like a wheel Through earth and water, fire and wind You came at last - nothing was the end Make a cut by fire and stone Take you and your blade and break you both in two Break you both in two Sunlight, falling on your steel Death in life is your ideal Life is like a wheel Sunlight, falling on your steel Death in life is your ideal Life is like a wheel - rolling on and on Sunlight, falling on your steel Death in life is your ideal Life is like a wheel Sunlight, falling on your steel Death in life is your ideal Life is like a wheel Sunlight, falling on your steel Death in life is your ideal Life is like a wheel Sunlight, falling on your steel Death in life is your ideal Life is like a wheel - and it`s rolling still"
To Tame A Land,"He is the king of all the land In the  Kingdom of the sands Of a time tomorrow He rules the sandworms and the  Fremen In a land amongst the stars Of an age tomorrow He is destined to be a  King He rules over every thing In the land called planet  Dune Body water is your life And without it you would die In the deserted planet  Dune Without a stillsuit you would fry On the sands so hot and dry In a world called  Arakis It is a land that's rich in spice The sandriders and the 'mice' That they call the ' Muad' Dib' He is the  Kwizatz  Haderach He is born of  Caladan And will take the  Gorn  Jabbar He has the power to foresee Or to look into the past He's the ruler of the stars The time will come for him to lay claim his crown And then the foe, yes they'll be cut down You'll see, he'll be the best that there's been Messiah supreme, true leader of men And when the time for judgement's at hand Don't fret he's strong and he'll make a stand' Gainst evil the fire that spreads through the land He has the power to make it all end"
Aces High,""" We shall go on to the end We shall fight in  France We shall fightover the seas and oceans.we shall fight with growing confidence and growing strength in the air. We shall defend our island whatever the cost may bewe shall fight on beaches, we shall fight on the landing groundswe shall fight in the fields and in the streetswe shall fight on the hills. We shall never surrender."" There goes the siren that warns of the air raid Then comes the sound of the guns sending flak Out for the scramble, we've got to get airborne Got to get up for the coming attack Jump in the cockpit and start up the engines Remove all the wheelblocks, there's no time to waste Gathering speed as we head down the runway Got to get airborne before it's too late Running, scrambling, flying Rolling, turning, diving Going in again Running, scrambling, flying Rolling, turning, diving Run Live to fly, fly to live, do or die Won't you Run, live to fly, fly to live Aces high Move in to fire at the mainstream of bombers Let off a sharp burst and then turn away Roll over, spin round to come in behind them Move to their blindsides and firing again Bandits at 8 o'clock are moving behind us Ten  ME-109's out of the sun Ascending and turning, our spitfires to face them Heading straight for them I press down my guns Rolling, turning, diving Rolling, turning, diving Going in again Rolling, turning, diving Rolling, turning, diving Run Live to fly, fly to live, do or die Won't you Run, live to fly, fly to live Aces high"
2 Minutes To Midnight,"Kill for gain or shoot to maim But we don't need a reason The  Golden  Goose is on the loose And never out of season. Blackened pride still burns inside This shell of bloody treason Here's my gun for a barrel of fun For the love of living death. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. The blind men shout let the creatures out We'll show the unbelievers, The  Napalm screams of human flames Of a prime time  Belsen feast... Y E AH! As the reasons for the carnage cut their meatand lick the gravy, We oil the jaws of the war machineand feed it with our babies. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. The body bags and little rags of childrentorn in two, And the jellied brains of those who remainto put the finger right on you As the madmen play on words and make us alldance to their song, To the tune of starving millionsto make a better kind of gun. The killer's breed or the  Demon's seed, The glamour, the fortune, the pain, Go to war again, blood is freedom's stain, Don't you pray for my soul anymore. 2 minutes to midnight, The hands that threaten doom.2 minutes to midnight, To kill the unborn in the womb. Midnight... Midnight... Midnight...is all night Midnight... Midnight... Midnight...is all night."
Losfer Words (Big' Orra),(instrumental)
Flash Of The Blade,"As a young boy chasing dragons With your wooden sword so mighty You're st.  George or you're david and you always killed the beast Times change very quickly And you had to grow up earlyA house in smoking ruins and the bodies at your feet You'll die as you lived In the flash of a blade In a corner forgotten by no-one You lived for the touch For the feel of the steel One man, and his honour The smell of resined leather The steely iron mask As you cut and thrust and parried at the Fencing master's call He taught you all he never knew To fear no mortal man And now you'll wreak your vengeance in the Screams of evil men You'll die as you lived In the flash of a blade In a corner forgotten by no-one You lived for the touch For the feel of the steel One man, and his honour You'll die as you lived In the flash of a blade In a corner forgotten by no-one You lived for the touch For the feel of the steel One man, and his honour"
The Duellists,"He threw down the glove you made the mistake Of picking it up now you're gone The choosing of guns or fighting with swords The choice of weapons is done He'll tear you apart as soon as you start You know you don't have a chance. OH... OH... Fight for the  Honour	      Fight for the  Splendour      	      Fight for the  Pleasure OH... OH... Fight for the  Honour	      Fight for the  Splendour	      Fight for your  Life! Ready to start the duel begins	the best man wins in the end.A lunge and a feint, a parry too lateA cut to the chest and you're down Seeing the stain then feeling the pain Feeling the sweat on your brow. OH... OH... Fight for the  Honour	      Fight for the  Splendour      	      Fight for the  Pleasure OH... OH... Fight for the  Honour	      Fight for the  Splendour	      Fight for your  Life! The fighting resumes, a silence looms the	 Swordsmen move 'gainst each otherA cut and a thrust, a parry, a blow,	a stab to the heart and you're down The  Angel of  Death hears your last breath Meanwhile the reaper looks on. OH... OH... Fought for the  Honour	      Fought for the  Splendour	      Fought for the  Pleasure OH... OH... Fought for the  Honour	      Fought for the  Splendour	      Fought to the  Death"
Back In The Village,"Turn the spotlights on the people, Switch the dial and eat the worm, Take your chances, kill the engine, Drop your bombs and let it burn. White flags shot to ribbons, The truce is black and burned, Shellshock in the kitchen, Tables overturned. Back in the village again, In the village,I'm back in the village again. Throwing dice now, rolling loaded,I see sixes all the way. In a black hole, and I'm spinning As my wings get shot away. Questions are a burden And answers are a prison for oneself Shellshock in the kitchen Tables start to burn. Back in the village again, In the village,I'm back in the village again. No breaks on the inside, Paper cats and burning barns, Theres a fox among the chickens, And a killer in the hounds. Questions are a burden And answers are a prison for oneself Shellshock in the kitchen Tables start to burn. Back in the village again, In the village,I'm back in the village again. But still we walk into the valley And others try to kill the inner flame We're burning brighter than beforeI don't have a number, I'M A  N A ME! Back in the village again, In the village,I'm back in the village again. Back in the village again, In the village,I'm back in the village again. Back in the villageI'm back in the villageI'm back in the village again."
Powerslave,"Into the  Abyss I'll fall-the eye of  Horus Into the eyes of the night-watching me go Green is the cat's eye that glows-in this  Temple Enter the risen  Osiris-risen again. Tell me why I had to be a  PowerslaveI don't wanna die, I'm a  God,why can't I live on? When the  Life  Giver dies,all around is laid to waste. And in my last hour,I'm a slave to the  Power of  Death. When I was living this lie- Fear was my game People would worship and fall-drop to their knees. So bring me the blood and red winefor the one to succeed me,for he is a man and a  God-and  He will die too. Tell me why I had to be a  PowerslaveI don't wanna die, I'm a  God,why can't I live on? When the  Life  Giver dies,all around is laid to waste. And in my last hour,I'm a slave to the  Power of  Death. Now I am cold but a ghost lives in my veins, Silent the terror that reigned-marbled in stone.A shell of a man  God preserved-a thousand ages, But open the gates of my  Hell-I will strike from the grave. Tell me why I had to be a  PowerslaveI don't wanna die, I'm a  God,why can't I live on? When the  Life  Giver dies,all around is laid waste. And in my last hour,I'm a slave to the  Power of  Death, Slave to the  Power of  Death... Slave to the  Power of  Death..."
Rime Of The Ancient Mariner,"Hear the rime of the ancient mariner See his eyes as he stops one of three Mesmerizes of one of the wedding guests Stay here and listen to the nightmares of the sea! And the music plays on, as the bride passes by Caught by his spell, and the mariner tells his tale Driven south to the land of the snow and ice To a place where nobody's been Through the snow fog flies on the albatross Hailed in  God's name, hoping good luck it brings And the ship sails on, back to the north Through the fog and ice and the albatross follows on The mariner kills the bird of good omen His shipmates cry against what he's done But when the fog clears, they justify him And make themselves a part of the crime Sailing on and on and north across the sea Sailing on and on and north 'til all is calm The albatross begins with its vengeanceA terrible curse, a thirst has begun His shipmates blame bad luck on the mariner About his neck, the dead bird is hung And the curse goes on and on and on at sea And the thirst goes on and on for them and me Day after day, day after day We stuck nor breath nor motion As idle as a painted ship upon a painted ocean Water, water, everywhere, and all the boards did shrink Water, water, everywhere, not any drop to drink! There - calls the mariner There comes a ship over the line But how can she sail with no Wind in her sails and no tide? See, onward she comes Onward she nears, out of the sun See, she has no crew She has no life - wait, but there's two! Death, and she life in death They throw their dice for the crew She wins the mariner And he belongs to her now Then, crew one by one They drop down dead, two hundred men She, she, life in death She lets him live, her chosen one One after one, by the star dogged moon Too quick for groan or sigh Each turned his face, with a ghastly pang And cursed me with his eye Four times fifty living men And I heard nor sigh nor groan With heavy thump, a lifeless lump They dropped down, one by one The curse, it lives on in their eyes The mariner, he wished he'd die Along with the sea creatures But they lived on, so did he And by the light of the moon He prays for their beauty, not doom With heart he blesses them God's creatures, all of them too Then, the spell starts to break The albatross falls from his neck Sinks down like lead, into the sea Then down in falls, comes the rain! Hear the groans of the long dead seamen See them stir and they start to rise Bodies lifted by good spirits None of them speak, and they're lifeless in their eyes And revenge is still sought, penance starts again Cast into a trance and the nightmare carries on Now the curse is finally lifted And the mariner sights his home Spirits go from the long dead bodies Form their own light and the mariner's left alone And then a boat came sailing towards him It was a joy, he could not believe The pilots boat, his son and the hermit Penance of life will fall onto him And the ship, it sinks, like lead, into the sea And the hermit shrieves the mariner of his sins The mariner's bound to tell of his story To tell his tale wherever he goes To teach  God's word by his own example That we must love all things that  God made And the wedding guest's a sad and wiser man And the tale goes on and on and on"
Caught Somewhere In Time,"If you had the time to lose, An open mind and time to choose, Would you care to take a look, Or can you read me like a book? Time is always on my side, Time is always on my side. Can I tempt you, come with me, Be  Devil may care, fulfill your dream, If I said I'd take you there, Would you go, would you be scared? Time is always on my side, Time is always on my side. Don't be afraid, you're safe with me, Safe as any soul can be... Honestly, just let yourself go. Caught somewhere in time Caught somewhere in time Caught somewhere in time Caught somewhere in time Caught somewhere in time Caught somewhere in time Like a wolf in sheep's clothing, You try to hide your deepest sins, Of all the things that you've done wrong, And I know where you belong. Time is always on my side, Time is always on my side. Make you an offer you can't refuse, You've only got your soul to lose Eternally...  Let yourself go! Caught somewhere in time Caught somewhere in time Caught somewhere in time Caught somewhere in time Caught somewhere in time Caught now in two minds!"
Wasted Years,"From the coast of gold, across the seven seasI'm travelling on, far and wide But now it seems I'm just a stranger to myself And all the things I sometimes do It isn't me, but someone else I close my eyes, and think of home Another city goes by, in the night Ain't it funny how it is, you never miss it 'til it's gone away And my heart is lying there and will be 'til my dying day So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years Too much time on my hands, I got you on my mind Can't ease this pain so easily When you can't find the words to say It's hard to make it through another day And it makes me wanna cry And throw my hands up to the sky So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years"
Sea Of Madness,"Out in the street somebody's crying, Out in the night the fires burn, Maybe tonight somebody's crying, Reached the point of no return. Oh - my eyes they see but I can't believe, Oh - my heart is heavy as I turn my back and leave. Chorus: Like the eagle and the dove, Fly so high on wings above, When all you see can only bring you sadness, Like a river we will flow, On towards the sea we go, When all you do can only bring you sadness, Out on the sea of madness. Somewhere I hear a voice that's calling, Out in the dark there burns a dream, You got to hope when you are falling, To find the world that you have seen. Oh - my eyes they see but I can't believe, Oh - my heart is heavy as I turn my back and leave. Chorus: Like the eagle and the dove, Fly so high on wings above, When all you see can only bring you sadness, Like a river we will flow, On towards the sea we go, When all you do can only bring you sadness, Out on the sea of madness. Solo It's madness, The sun don't shine On the sea of madness, There ain't no wind to fill your sails, Madness, When all you see can only bring you sadness On towards the sea we go Out in the street somebody's crying, Out in the night the fires burn, Maybe tonight somebody's crying, Reached the point of no return. Oh - my eyes they see but I can't believe, Oh - my heart is heavy as I turn my back and leave. Chorus: Like the eagle and the dove, Fly so high on wings above, When all you see can only bring you sadness, Like a river we will flow, On towards the sea we go, When all you do can only bring you sadness, Out on the sea of madness."
Heaven Can Wait,"Can't understand what is happening to me This isn't real, this is only a dream But I never have felt, no I never have felt this way beforeI'm looking down on my body belowI lie asleep in the midst of a dream Is it now could it be that the angel of death has come for me?I can't believe that really my time has comeI don't feel ready, there's so much left undone And it's my soul and I'm not gonna let it get away Heaven can wait Heaven can wait Heaven can wait Heaven can wait til another day Heaven can wait Heaven can wait Heaven can wait Heaven can wait til another day I have a lust for the earth below And hell itself is my only foe' Cause I've no fear of dyingI'll go when I'm good and readyI snatch a glimpse of the light's eternal raysI see a tunnel, I stand amazed At all of the people standing there in front of me Into the paths of rightness I'll be led Is this the place where the living join the dead?I wish I knew this was only just a nightmare Heaven can wait Heaven can wait Heaven can wait Heaven can wait til another day Heaven can wait Heaven can wait Heaven can wait Heaven can wait til another day Take my hand, I'll lead you to the promised land Take my hand, I'll give you immortality Eternal youth, I'll take you to the other side To see the truth, the path for you is decided Oh, oh My body tingles, I feel so strangeI feel so tired, I feel so drained And I'm wondering if I'll ever be the same again Is this in limbo or in heaven or hell? Maybe I'm going down there as wellI can't accept my soul will drift foreverI feel myself floating back down to earth So could this be the hour of my rebirth? Or have I died or will I wake from dreaming? Heaven can wait Heaven can wait Heaven can wait Heaven can wait til another day"
The Loneliness Of The Long Distance Runner,"Tough of the track With the wind And the rain that's beating down on your back Your heart's beating loud And goes on getting louder And goes on even more till the sound Is ringing in your head With every step you tread And every breath you take Determination makes You run Never stop Gotta win, gotta run till you drop Keep the pace Hold the race Your mind is getting clearer You're over halfway there but the miles Just never seem to end As if you're in a dream Not getting anywhere It seems so futile Run, on and on Run, on and on The loneliness of the long distance runner I've got to keep running the courseI've got to keep running and win at all costsI've got to keep going, be strong Must be so determined and push myself on Run over stiles, across fields Turn to look at who's on your heels Way ahead of the field The line is getting nearer but do You want the glory that goes You reach the final stretch Ideals are just a trace You feel like throwing the race It's all so futile Run, on and on Run, on and on The loneliness of the long distance runner Run, on and on Run, on and on The loneliness of the long distance runner"
Stranger In a Strange Land,"Was many years ago that I left home and came this wayI was a young man full of hopes and dreams But now it seems to me that all is lost and nothing gained Sometimes things ain't what they seem No brave new world, no brave new world No brave new world, no brave new world Night and day I scan horizon, sea and sky My spirit wanders endlessly Until the day will dawn and friends from home discover why Hear me calling, rescue me Set me free, set me free Lost in this place, and leave no trace Stranger in a strange land Land of ice and snow Trapped inside this prison, yeah! Lost and far from home One hundred years have gone and men again they came that way To find the answer to the mystery They found his body lying where it fell on that day Preserved in time for all to see No brave new world, no brave new world Lost in this place, and leave no trace What became of men that started All are gone and their souls departed Left me here in this place So all alone Stranger in a strange land Land of ice and snow Trapped inside this prison! Lost and far from home Stranger in a strange land Land of ice and snow Trapped inside this prison! Lost and far from home"
Deja Vu,"When you see familiar faces, But you don't remember where they're from, Could you be wrong? When you've been particular places, That you know you've never been before, Can you be sure? ' Cause you know this has happened before, And you know that this moment in time is for real, And you know when you feel  Deja vu. ( Chorus) Feel like I've been here before, Feel like I've been here before. Feel like I've been here before, Feel like I've been here before. Ever had a conversation, That you realise you've had before, Isn't it strange? Have you ever talked to someone, And you feel you know what's coming next? It feels pre-arranged. ' Cause you know that you've heard it before, And you feel that this moment in time is surreal,' Cause you know when you feel  Deja vu."
Alexander The Great,""" My son, ask for thyself another kingdom, For that which I leave is too small for thee."" Near to the  East, in a part of ancient  Greece, In an ancient land called  Macedonia, Was born a son to  Philip of  Macedon, The legend his name was  Alexander. At the age of nineteen, he became the  Macedon king, And he swore to free all of  Asia  Minor, By the  Aegian  Sea in 334  BC, He utterly beat the armies of  Persia. Chorus: Alexander the  Great, His name struck fear into hearts of men, Alexander the  Great, Became a legend 'mongst mortal men. King  Darius the third,  Defeated fled  Persia, The  Scythians fell by the river  Jaxartes, Then  Egypt fell to the  Macedon king as well, And he founded the city called  Alexandria. By the  Tigris river, he met  King  Darius again, And crushed him again in the battle of  Arbela, Entering  Babylon and  Susa, treasures he found, Took  Persepolis, the capital of  Persia. Chorus: Alexander the  Great, His name struck fear into hearts of men, Alexander the  Great, Became a god amongst mortal men. A  Phrygian  King had bound a chariot yoke, And  Alexander cut the "" Gordion knot"", And legend said that who untied the knot, He would become the master of  Asia. Hellenism he spread far and wide, The  Macedonian learned mind, Their culture was a western way of life, He paved the way for  Christianity. Marching on,  Marching on. The battle weary marching side by side, Alexander's army line by line, They wouldn't follow him to  India, Tired of the combat, pain and the glory. Chorus: Alexander the  Great, His name struck fear into hearts of men, Alexander the  Great, He died of fever in  Babylon."
Moonchild,"Seven deadly sins Seven ways to win Seven holy paths to hell And your trip begins Seven downward slopes Seven bloodied hopes Seven are you burning fires, Seven your desires... I am he the bornless one The fallen angel watching you Babylon, the scarlet whoreI'll infiltrate your gratitude Don't you dare to save your son Kill him now and save the young ones Be the mother of birth strangled babe Be the devil's own,  Lucifer's my name Moonchild - hear the mandrake scream Moonchild -  Open the seventh seal I count the heads of those unborn The accursed ones I'll find them all If you die by your own hand As a suicide you shall be damned And if you try to save your soulI will torment you - you shall not grow old With every second and passing breath You'll be so alone your soul will bleed to death Moonchild - hear the mandrake scream Moonchild -  Open the seventh seal Moonchild -  You'll be mine soon child Moonchild - take my hand tonight The twins they are exhausted, seven is this night Gemini is rising as the red lips kiss to bite Seven angels seven demons battle for his soul When  Gabriel lies sleeping, this child was born to die One more dies one more lives One baby cries one mother grieves For all the sins you will commit You'll beg forgiveness and none I'll giveA web of fear shall be your coat To clothe you in the nightA lucky escape for you young man But I'll see you damned in endless night Moonchild - hear the mandrake scream Moonchild -  Open the seventh seal Moonchild -  You'll be mine soon child Moonchild - take my hand tonight"
